kernel,time,stdev
RawToDigi_kernel(),46802.283,280282.8426974775
calibDigis(),14851.577,139026.74863508827
countModules(),9989.817,24437.083596066044
findClus(),169147.272,539054.3603037325
clusterChargeCut(),44547.02,22265.041050439966
fillHitsModuleStart(),12099.763,568.3672807100896
getHits(),68208.714,350764.6390874345
setHitsLayerStart(),7951.244,259.56030701356667
countFromVector(),9029.978,9959.549631203581
multiBlockPrefixScanFirstStep(),9679.549,35253.84268568225
multiBlockPrefixScanSecondStep(),12235.807666666668,82217.69913380528
fillFromVector(),9119.969,11210.429934667272
initDoublets(),34938.202,461748.03762986034
getDoubletsFromHisto(),156630.718,2487527.0336260963
kernel_connect(),141468.893,2334282.013700001
kernel_find_ntuplets(),189305.232,422381.1452429684
finalizeBulk(),7738.559,1867.1558464174357
kernel_earlyDuplicateRemover(),31332.33,102797.8474163268
kernel_countMultiplicity(),10941.986,3011.9199365493073
kernel_fillMultiplicity(),11071.344,4616.951954524694
kernel_fillHitDetIndices(),9474.963,8790.34757490958
kernelBLFastFit(),20072.095666666668,486508.7762045576
kernelBLFit(),122250.43833333334,1878515.07570973
kernel_classifyTracks(),8745.607,19141.71490818671
kernel_fastDuplicateRemover(),35717.721,100205.10525510457
kernel_countHitInTracks(),9486.797,13358.41058675501
kernel_fillHitInTracks(),10393.083,15110.194771225664
kernel_tripletCleaner(),13728.063,27695.271660932827
loadTracks(),12760.449,3857.010570151742
vertexFinderOneKernel(),125258.333,63372.44512867569
